Event,Yes,Unsure
Being a Fundraising Committee Member - Y,11,1
Being a Fundraising Committee Member - N,126,27
Being an Event Planning Committee Member - Y,20,0
Being an Event Planning Committee Member - N,117,28
Facilitating a Workshop or Training - Y,34,3
Facilitating a Workshop or Training - N,103,25
Maybe with the call-a-thon - Y,1,0
Maybe with the call-a-thon - N,136,28
Mentoring a Fellow - Y,54,4
Mentoring a Fellow - N,83,24
Providing space for MPF events or Monthly Meetings - Y,8,0
Providing space for MPF events or Monthly Meetings - N,129,28
Serving as a Skill-based remote volunteer - Y,18,1
Serving as a Skill-based remote volunteer - N,119,27
Sharing a talent or skill at an MPF fundraising event - Y,8,0
Sharing a talent or skill at an MPF fundraising event - N,129,28
Sitting on an Alumni Panel - Y,79,5
Sitting on an Alumni Panel - N,58,23
Volunteering at MPF Events - Y,39,2
Volunteering at MPF Events - N,98,26
