Event,Yes,Unsure
Not Engaged - Y,55,18
Not Engaged - N,82,10
Financial Donation - Y,31,6
Financial Donation - N,106,22
Utilized MPF Staff for a Reference - Y,13,0
Utilized MPF Staff for a Reference - N,124,28
Connected with a Current Fellow - Y,12,1
Connected with a Current Fellow - N,125,27
Attended the Fall Alumni Re-Treat - Y,10,1
Attended the Fall Alumni Re-Treat - N,127,27
Participated in FAM - Y,13,2
Participated in FAM - N,124,26
Advisory Board - Y,2,0
Advisory Board - N,135,28
Served as a Trainer of Panelist - Y,6,0
Served as a Trainer of Panelist - N,131,28
Other - Y,26,2
Other - N,111,26
